Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,_cff,human,radiff2,1_cff,4_cff,0.887
T1_WordCount,_cff,human,radiff2,1_cff,5_cff,0.842
T1_WordCount,_cff,human,radiff2,2_cff,3_cff,0.74
T1_WordCount,_cff,human,radiff2,2_cff,4_cff,0.796
T1_WordCount,_cff,human,radiff2,2_cff,5_cff,0.747
T1_WordCount,_cff,human,radiff2,3_cff,4_cff,0.771
T1_WordCount,_cff,human,radiff2,3_cff,5_cff,0.791
T1_WordCount,_cff,human,radiff2,4_cff,5_cff,0.842
T1_WordCount,_cff,gemini,ssdeep,1_cff,2_cff,0
T1_WordCount,_cff,gemini,ssdeep,1_cff,3_cff,0
T1_WordCount,_cff,gemini,ssdeep,1_cff,4_cff,0
T1_WordCount,_cff,gemini,ssdeep,1_cff,5_cff,0
T1_WordCount,_cff,gemini,ssdeep,2_cff,3_cff,0
T1_WordCount,_cff,gemini,ssdeep,2_cff,4_cff,0
T1_WordCount,_cff,gemini,ssdeep,2_cff,5_cff,0
T1_WordCount,_cff,gemini,ssdeep,3_cff,4_cff,0
T1_WordCount,_cff,gemini,ssdeep,3_cff,5_cff,0
T1_WordCount,_cff,gemini,ssdeep,4_cff,5_cff,0
T1_WordCount,_cff,gemini,sdhash,4_cff,5_cff,016
T1_WordCount,_cff,gemini,sdhash,2_cff,3_cff,006
T1_WordCount,_cff,gemini,sdhash,1_cff,4_cff,035
T1_WordCount,_cff,gemini,sdhash,2_cff,1_cff,017
T1_WordCount,_cff,gemini,sdhash,1_cff,5_cff,017
T1_WordCount,_cff,gemini,sdhash,2_cff,4_cff,016
T1_WordCount,_cff,gemini,sdhash,2_cff,5_cff,013
T1_WordCount,_cff,gemini,sdhash,3_cff,1_cff,013
T1_WordCount,_cff,gemini,sdhash,3_cff,4_cff,012
